trade_id,ticker,trade_date,open_price,high_price,low_price,close_price,volume,market_cap_usd,pe_ratio,dividend_yield,beta,sector,portfolio,currency,analyst_rating,shares_held,purchase_price
Trd01653,META,14-01-2020,297.57,309.99,278.22,438.495,19588876,1949394570,9.9,0.731,2.221,Financial,Portfolio_A,Usd,Sell,2975,263.45
Trd00170,TSLA,15-01-2020,262.39,312.6574588,271.64,258.1,9234899,1876001399,74.11,1.251,2.404,Technology,Portfolio_A,Eur,Sell,4358,272.15
Trd00508,AMD,16-01-2020,764.67,787.44,748.78,768.93,28879234,1949394570,5.56,4.457,1.578,Consumer,Portfolio_C,Gbp,Sell,499,660.79
Trd00362,AMZN,16-01-2020,324.08,335.15,292.01,301.04,14679264,1664359246,25.26,0.286,1.002,Healthcare,Portfolio_B,Usd,Sell,2942,338.28
Trd01820,GS,17-01-2020,503.02,537.01,491.3,515.54,22787201,1119400000,67.93,0.653,0.493,Financial,Portfolio_A,Usd,Buy,1775,580.97
Trd01404,GS,20-01-2020,116.31,119.88,105.26,107.26,25562169,919229569.6,70.98,0.685,2.438,Technology,Portfolio_B,Usd,Buy,3092,91.19
Trd00199,GS,21-01-2020,412.87,423.05,394.4,395.68,44962794,3005494669,48.31,4.696,1.536,Healthcare,Portfolio_B,Usd,Sell,3291,436
Trd00169,MSFT,21-01-2020,475.75,524.39,468.64,438.495,20017546,3962891633,25.09,0.682,1.208,Technology,Portfolio_B,Usd,Sell,2779,484.4
Trd01838,AMZN,22-01-2020,616.09,723.603817,689.2,657.98,39507394,1487740155,76.1,1.759,1.837,Financial,Portfolio_C,Gbp,Sell,2409,751.03
Trd01882,GS,22-01-2020,240.38,255.5,238.17,254.13,7784032,421401669.7,43.73,0.278,1.679,Technology,Portfolio_C,Usd,Sell,1249,204.03
Trd01477,NVDA,22-01-2020,509.82,534.37,480.72,503.9,11334308,4632844003,58.47,2.979,2.084,Consumer,Portfolio_A,Usd,Sell,3216,548.42
Trd01971,NVDA,22-01-2020,343.07,347.53,328.8,335.24,38037979,1716760688,18.33,1.397,0.992,Financial,Portfolio_B,Usd,Buy,1573,387.43
Trd00685,INTC,23-01-2020,378.88,387.24,342.9,350.12,48676812,1181776492,70.82,3.695,1.56,Energy,Portfolio_C,Usd,Buy,2439,286.51
Trd00852,AMD,24-01-2020,427.79,441.56,403.37,420,40404173,4133289720,58.19,3.078,1.402,Consumer,Portfolio_A,Eur,Sell,4629,498.36
Trd00907,AMD,24-01-2020,489.62,551.66,475.45,527.67,23943174,563648123.6,43.73,1.847,0.523,Healthcare,Portfolio_A,Usd,Sell,2159,572.22
Trd00940,AMD,24-01-2020,608.5,623.37,578.01,605.66,1782415,4605552504,43.73,1.053,0.78,Consumer,Portfolio_A,Usd,Sell,1979,684.14
Trd00467,BAC,24-01-2020,74.21,76.43,72.61,438.495,17554655,517656596.9,61.48,0.637,2.5,Financial,Portfolio_C,Gbp,Buy,159,72.33
Trd01341,BAC,24-01-2020,454.2,460.19,441.45,451.52,38449223,4015107284,58.62,4.747,2.129,Financial,Portfolio_A,Eur,Sell,1947,488.76
Trd00207,BRK,24-01-2020,513.7,576.14,511.44,438.495,44169628,1949394570,33.63,0.257,1.235,Financial,Portfolio_C,Eur,Sell,3955,519.08
Trd01774,GOOGL,24-01-2020,99.21,97.47,82.63463196,97.47,42945459,946115655.4,25.39,0.668,1.727,Healthcare,Portfolio_C,Gbp,Sell,3944,105.62
Trd00215,GS,24-01-2020,216.34,221.89,199.11,438.495,31006393,1567269905,34.93,3.536,1.539,Technology,Portfolio_C,Usd,Sell,169,175.75
Trd00270,GS,24-01-2020,781.73,794.41,706.49,438.495,13513814,5150331253,56.55,0.293,0.571,Technology,Portfolio_A,Eur,Sell,4975,712.02
Trd00384,GS,24-01-2020,616.24,638.49,586.06,438.495,45668547,4481316503,15.54,4.956,2.119,Financial,Portfolio_A,Gbp,Buy,4469,516.81
Trd01616,INTC,24-01-2020,392.59,405.6,356.53,367.43,48961385,2013988548,68.61,2.555,2.32,Healthcare,Portfolio_C,Usd,Sell,2756,335.24
Trd01670,JPM,24-01-2020,729.16,743.05,688.65,707.94,26868477,3022952648,6.89,0.625,0.999,Healthcare,Portfolio_C,Eur,Sell,205,585.34
Trd00623,META,24-01-2020,464.67,492,459.63,476.77,13532888,3617386532,57.1,1.837,1.475,Consumer,Portfolio_A,Eur,Sell,405,520.57
Trd01070,META,24-01-2020,332.68,341.2,321.07,327.05,19585991,1842338060,5.83,0.252,1.262,Energy,Portfolio_A,Usd,Buy,1279,300.52
Trd00798,MSFT,24-01-2020,182.34,205.34,174.65,438.495,49847341,1688814469,29.13,4.092,2.489,Financial,Portfolio_C,€,Sell,3206,215.78
Trd01194,NFLX,24-01-2020,522.76,591.29,513.3,563.44,47024080,2327883349,43.73,3.547,1.791,Healthcare,Portfolio_A,Usd,Sell,2756,666.9
Trd01446,NFLX,24-01-2020,797.81,832.62,794.56,804.07,26626344,3329470542,62.58,1.738,2.444,Technology,Portfolio_C,Eur,Buy,2222,936.44
Trd01880,TSLA,24-01-2020,205.39,211.63,189.24,191.1,31366122,1759095757,63.53,2.301,1.39,Technology,Portfolio_C,Usd,Buy,4755,193.63
Trd00524,WFC,24-01-2020,729.81,729.84,659.45,679.22,30057743,5028091780,6.88,4.467,0.651,Energy,Portfolio_A,Usd,Buy,3816,720.09
Trd00775,WFC,24-01-2020,317.55,336.02,314.9,333.05,4086790,500602792.3,77.02,3.942,1.85,Healthcare,Portfolio_B,Usd,Sell,960,280.11
Trd01844,WFC,24-01-2020,281.12,306.91,269.09,294.93,24781574,458225662.7,21.65,0.676,1.326,Healthcare,Portfolio_C,Usd,Sell,1848,314.33
Trd01928,AMD,27-01-2020,190.91,196.24,174.3,438.495,15656504,638566832.9,12.14,3.709,1.402,Energy,Portfolio_C,Usd,Buy,1091,164.55
Trd00067,BRK,27-01-2020,386.71,403.7,375.42,381.51,44896138,3530119660,40.06,1.721,1.831,Financial,Portfolio_A,Eur,Buy,2535,457.7
Trd00514,GOOGL,27-01-2020,310.98,320.76,303.32,308.12,13743092,2513010082,28.25,2.711,1.387,Healthcare,Portfolio_B,Usd,Sell,2366,348.25
Trd00902,GOOGL,27-01-2020,785.89,855.22,785.23,840.2,28540107,2544167610,47.12,0.401,2.013,Energy,Portfolio_A,Usd,Buy,4098,839.96
Trd01675,BAC,29-01-2020,630.12,681.45,611.89,656.48,45368010,1004194479,60.66,1.629,0.801,Consumer,Portfolio_C,Eur,Sell,1902,670.94
Trd01361,AAPL,30-01-2020,351.35,358.75,338.24,353.1,42282122,986003855.1,73.44,0.258,1.287,Technology,Portfolio_B,Usd,Buy,4747,297.86
Trd01521,META,31-01-2020,551.82,575.31,539.63,572.13,19982011,4532242793,10.45,4.571,0.673,Energy,Portfolio_C,Gbp,Sell,2283,526.22
Trd01146,AMZN,03-02-2020,771.37,809.32,725.93,745.51,25562169,5000409172,39.79,2.601,1.402,Healthcare,Portfolio_C,Eur,Sell,3504,794.65
Trd00883,META,03-02-2020,452.53,469.09,441.7,438.495,43682210,1405600000,76.24,3.741,0.518,Technology,Portfolio_B,Usd,Sell,2657,503.34
Trd01442,GS,05-02-2020,611.81,633.75,596.55,615.34,40370227,2422396671,70.4,2.406,2.41,Financial,Portfolio_B,Eur,Sell,759,570.15
Trd01362,JPM,05-02-2020,329.8,340.94,309.87,319.12,25699926,1330006317,13.94,4.746,2.34,Energy,Portfolio_C,Usd,Sell,141,342.81
Trd00290,NFLX,05-02-2020,192.7,207.5,190.35,438.495,23005259,395048033.7,51.36,4.996,1.754,Healthcare,Portfolio_A,Gbp,Sell,2492,165.15
Trd01912,NFLX,05-02-2020,439.65,461.52,418.16,438.495,9953718,2041638869,54.06,1.384,0.678,Financial,Portfolio_C,Usd,Sell,3433,429.58
Trd00877,META,06-02-2020,614.17,681.13,607.05,438.495,42134458,5141842500,65.95,4.202,2.491,Financial,Portfolio_B,Eur,Sell,955,566.17
Trd00947,GOOGL,11-02-2020,544.82,548.98,516,521.32,11270375,2483245783,39.87,2.883,1.044,Energy,Portfolio_A,Gbp,Buy,2208,427.14
Trd01821,NVDA,11-02-2020,307.58,333.63,305.42,328.65,38941220,2475372738,0,3.285,1.949,Energy,Portfolio_C,Usd,Sell,28,340.56
Trd01892,NVDA,12-02-2020,716.9,742.94,686.9,703.75,25562169,2942058544,7.52,0.198,2.385,Financial,Portfolio_B,Usd,Sell,2623,764.52
Trd00101,AMD,13-02-2020,80.07,83.68,77.86,83.28,14975048,738243305,60.89,3.421,0.945,Technology,Portfolio_A,Gbp,Buy,2957,74.28
Trd00566,NFLX,13-02-2020,391.32,407.1,355.59,370.4,44016036,3259398879,57.17,4.761,1.402,Financial,Portfolio_B,Eur,Sell,2019,320.55
Trd01055,WFC,13-02-2020,765.83,780.05,691.81,719.79,19967745,5662518830,7.71,2.532,1.24,Technology,Portfolio_B,Eur,Sell,4052,716.86
Trd01051,BRK,14-02-2020,552.66,555.1,505.97,516.49,25002279,1783946647,35.58,2.177,0.994,Consumer,Portfolio_C,Eur,Sell,4933,478.53
Trd00903,GS,14-02-2020,713.4,760.38,688.94,753.78,38015243,2248709662,44.32,1.325,2.054,Consumer,Portfolio_C,Usd,Sell,1840,889.91
Trd01033,JPM,14-02-2020,371.24,373.63,332.41,344.89,36335663,2024706061,39.35,2.546,1.66,Technology,Portfolio_A,Usd,Sell,1024,373.88
Trd01370,JPM,18-02-2020,660.8,691.99,594.52,613.39,18598119,1797065858,78.5,4.585,0.434,Financial,Portfolio_C,Usd,Sell,3895,645.49
Trd01986,GS,19-02-2020,772.55,805.61,755.72,791.8,9174936,5969434042,75.4,0.325,1.044,Healthcare,Portfolio_C,Usd,Sell,2754,829.65
Trd01910,JPM,19-02-2020,440.57,453.01,410.65,411.17,15086127,3451981436,35.09,2.598,1.361,Technology,Portfolio_B,Usd,Buy,3749,381.28
Trd00664,NFLX,19-02-2020,604.37,622.37,544.29,557.98,36398810,1828103736,43.15,4.082,2.122,Energy,Portfolio_B,Usd,Sell,4592,467.94
Trd00908,TSLA,24-02-2020,234.34,253.66,225.57,245.92,26531076,1816903685,71.3,0.918,1.944,Consumer,Portfolio_C,Eur,Sell,4570,236.03
Trd00932,GS,25-02-2020,539.94,563.06,492.46,509.66,764633,4175171416,75.96,1.562,1.432,Consumer,Portfolio_B,Usd,Sell,1412,584.54
Trd00155,TSLA,25-02-2020,517.76,525.54,510.53,520.05,24325936,2719904664,12.24,4.497,1.402,Energy,Portfolio_B,Usd,Sell,1338,600.46
Trd01186,META,26-02-2020,713.28,734.39,683.78,697.19,21499556,4508756315,43.73,0.562,1.096,Technology,Portfolio_C,Eur,Sell,3320,733.62
Trd00138,GS,27-02-2020,485.4,517.69,467.64,512.1,35588382,1005271760,44.41,4.767,0.456,Financial,Portfolio_A,Usd,Buy,476,563.53
Trd00001,MSFT,27-02-2020,133.79,140.45,127.55,134.96,36886894,432240710.7,26.92,3.506,1.601,Energy,Portfolio_C,Usd,Sell,3530,116.13
Trd01268,WFC,27-02-2020,310.73,322.78,272.5,286.06,18694923,1287815230,59.4,1.773,1.813,Healthcare,Portfolio_B,Usd,Sell,1590,299.43
Trd01174,AAPL,28-02-2020,334.94,341.36,316.23,316.25,43670318,1949394570,7.82,2.967,0.403,Consumer,Portfolio_B,Usd,Sell,4113,288.96
Trd00321,MSFT,28-02-2020,496.24,511.28,481.63,500.79,25562169,1293671777,64.74,0.794,0.908,Technology,Portfolio_C,Usd,Sell,1020,437.57
Trd01207,INTC,02-03-2020,563.15,601.42,562.62,575.6,17883837,3259842104,54.96,4.24,1.517,Financial,Portfolio_B,Eur,Sell,1118,533.77
Trd01232,INTC,02-03-2020,61.74,63.42,60.19,62.51,46715025,316156764.5,43.73,0.441,0.51,Consumer,Portfolio_B,Gbp,Buy,1489,57.86
Trd00345,AMD,03-03-2020,148.38,161.75,144.21,159.3,25562169,822063189.6,68.59,2.334,1.781,Financial,Portfolio_A,Usd,Buy,1810,182.49
Trd00951,AMZN,03-03-2020,155.61,173.27,151.1,168.05,35010587,1006302390,28.78,1.067,0.84,Financial,Portfolio_C,Usd,Sell,3659,178.37
Trd00558,NFLX,03-03-2020,321.42,352.46,309.02,438.495,25598268,2453430071,43.73,2.636,2.319,Energy,Portfolio_B,Eur,Sell,4499,300.87
Trd00909,AMZN,04-03-2020,162.17,166,150.03,151.57,31143519,388319914.9,43.73,4.412,1.013,Healthcare,Portfolio_B,Gbp,Sell,1118,123.2
Trd01154,BRK,04-03-2020,82.34,83.39,77.36,79.79,17135836,197600000,25.37,4.002,1.402,Energy,Portfolio_C,Gbp,Sell,1980,71.33
Trd00329,AMZN,05-03-2020,587.64,635.54,586.96,612.89,10850010,4307292858,45.29,2.406,1.482,Energy,Portfolio_C,Eur,Buy,3897,704.08
Trd01307,AMZN,05-03-2020,341.1,373.48,334.2,366.92,26534283,613956595.3,73.83,4.583,0.613,Financial,Portfolio_C,Eur,Sell,1349,388.17
Trd00575,INTC,05-03-2020,54.31,55.39,49.58,438.495,40392628,372654174.2,41.57,1.312,1.402,Consumer,Portfolio_B,Usd,Sell,188,60.55
Trd00735,MSFT,05-03-2020,404.34,434.68,387.72,418.39,46639348,711197731.2,43.73,4.402,1.571,Technology,Portfolio_C,Usd,Buy,3855,366.23
Trd01054,AMZN,06-03-2020,254.81,259.37,246.48,250.24,25562169,1711002487,8.69,0.066,1.859,Technology,Portfolio_B,Eur,Buy,2108,241.24
Trd00591,META,06-03-2020,512.03,528.23,489.46,515.28,43540177,1351334167,43.73,1.227,2.191,Consumer,Portfolio_B,Eur,Sell,4285,518.49
Trd00625,BRK,09-03-2020,187.61,190.83,173.88,175.64,16069013,1191696674,77,2.163,1.874,Energy,Portfolio_A,Usd,Sell,2513,155.43
Trd00167,NFLX,09-03-2020,586.88,611.74,572.96,604.11,810288,3762555357,52.49,2.686,1.732,Energy,Portfolio_A,Eur,Sell,3443,667.46
Trd01842,AMD,10-03-2020,375.4,391.65,359.93,378.43,49766031,2361588631,43.73,1.638,0.955,Financial,Portfolio_B,Usd,Buy,4131,403.67
Trd00844,WFC,12-03-2020,298.91,312.53,297.91,306.35,43443452,2179862222,74.36,4.269,0.727,Consumer,Portfolio_A,Usd,Sell,4879,292.17
Trd01876,GOOGL,16-03-2020,613.98,641.58,610.71,610.8,25562169,3510673782,76.39,2.406,0.377,Energy,Portfolio_B,Usd,Sell,1181,524.9
Trd00627,INTC,16-03-2020,633.87,690.51,621.25,663.56,6671541,1990571840,43.73,2.625,1.574,Financial,Portfolio_B,Usd,Sell,2313,644.66
Trd01355,META,16-03-2020,774.63,776.7,752.08,762.28,6836754,1736053824,77.94,2.553,1.835,Energy,Portfolio_B,Usd,Buy,4966,833.39
Trd01489,NFLX,16-03-2020,552.73,558.72,548.65,558.53,37320982,1949394570,75.53,4.604,1.769,Energy,Portfolio_A,Eur,Sell,3963,607.64
Trd01466,AMZN,17-03-2020,336.33,346.97,309.78,321.58,5687260,2245953631,68.64,1.872,1.42,Energy,Portfolio_C,Usd,Sell,2913,328.48
Trd00700,AMD,19-03-2020,607.36,636.85,554.11,559.73,2346962,804421566.8,76.86,4.284,1.889,Healthcare,Portfolio_B,Usd,Sell,1020,669.34
Trd00083,AMD,20-03-2020,102.14,104.15,97.66,99.87,6552004,271424588.7,58.58,2.217,0.387,Consumer,Portfolio_A,Usd,Sell,1129,80.79
Trd00152,NFLX,23-03-2020,740.48,773.39,682.56,708.13,26108608,1949394570,79.38,1.749,1.317,Healthcare,Portfolio_B,Usd,Buy,483,766.93
Trd00949,BAC,24-03-2020,643.84,717.05,641.44,693.86,36779755,4030500000,39.14,2.889,0.837,Healthcare,Portfolio_A,Usd,Sell,2859,589.17
Trd00210,INTC,24-03-2020,707.19,756.12,704.89,438.495,23888320,3288427665,26.6,3.747,2.354,Consumer,Portfolio_C,Usd,Sell,2259,761.83
Trd01327,NFLX,24-03-2020,348.98,349.91,323.37,335.2,36930411,2340974453,5.83,0.734,1.557,Healthcare,Portfolio_A,Usd,Sell,1498,276.49
Trd00644,META,25-03-2020,63.7,65.7,60.89,62.15,25562169,151542520.3,62.29,2.596,0.389,Consumer,Portfolio_B,Usd,Buy,4306,50.97
Trd01597,AMZN,26-03-2020,644.07,722.7161176,691.14,670,20393477,6104442360,61.31,4.274,2.062,Technology,Portfolio_C,Usd,Sell,2550,575.87
Trd01468,TSLA,26-03-2020,108.1,113.43,98.36,101.08,16369030,597965728.4,5.49,2.63,2.298,Technology,Portfolio_A,Usd,Buy,556,96.94
Trd00089,AMD,27-03-2020,551.49,607.53,534.96,588.54,3131826,5789632183,18.63,2.406,0.459,Healthcare,Portfolio_A,Gbp,Sell,4398,476.12
Trd01929,BAC,27-03-2020,322.3,330.85,319.84,326.09,47467586,1547400000,59.43,4.778,0.737,Technology,Portfolio_C,Usd,Sell,3328,301.04
Trd00247,AAPL,31-03-2020,297.31,301.44,275.51,283,9549365,2289034463,7.81,3.889,0.623,Financial,Portfolio_B,Usd,Sell,3471,335.2
Trd00263,BRK,31-03-2020,787.52,816.61,729.38,763.12,14379712,1057192108,31.38,2.141,0.809,Energy,Portfolio_C,Eur,Sell,4224,910.72
Trd00930,META,31-03-2020,212.85,223.67,212.01,217.03,11036128,2070445799,51.44,1.336,2.308,Energy,Portfolio_B,Usd,Sell,1982,250.32
Trd01953,NFLX,31-03-2020,470.72,475.94,442.48,464.21,33416388,3679191982,44.19,3.383,1.416,Consumer,Portfolio_B,Usd,Buy,2617,430.9
Trd01743,TSLA,31-03-2020,552.65,575.97,509.37,517.16,27403233,1393769989,43.73,2.86,0.45,Consumer,Portfolio_B,Usd,Buy,1430,433.8
Trd01187,WFC,31-03-2020,319.72,320.47,281.25,295.19,13319133,2824800000,37.17,2.537,1.402,Consumer,Portfolio_A,Usd,Sell,1362,282.01
Trd01235,JPM,03-04-2020,472.94,489.24,427.13,435.25,17660677,1949394570,34.46,3.277,0.425,Consumer,Portfolio_B,Usd,Sell,4143,466.57
Trd01637,TSLA,06-04-2020,681.3,706.24,656.26,692.92,4417197,5820918807,13.83,3.41,0.782,Financial,Portfolio_A,Eur,Sell,4427,672.47
Trd01061,AMD,07-04-2020,405.47,413.47,364.91,377.8,33396336,3005836870,11.86,1.579,1.047,Technology,Portfolio_C,Usd,Buy,1355,335.69
Trd01776,MSFT,07-04-2020,591.42,609.35,563.25,599.73,36048732,1949394570,32.64,1.322,2.132,Financial,Portfolio_A,Usd,Buy,4358,542.98
Trd01250,NFLX,07-04-2020,208.14,222.21,202.87,212.92,31592390,764328505.4,43.73,3.42,1.815,Technology,Portfolio_B,Usd,Sell,2384,209.86
Trd00678,MSFT,08-04-2020,742.67,776.94,727.46,744.04,45264228,2308522491,33.24,4.197,0.49,Energy,Portfolio_C,Usd,Buy,4205,832.47
Trd00692,JPM,09-04-2020,625.2,674.24,606.12,668.1,10020584,1949394570,32.5,0.538,1.811,Financial,Portfolio_B,Usd,Sell,3916,547.22
Trd00125,NFLX,09-04-2020,395.38,415.31,388.46,414.84,23393264,3740482435,13,3.645,0.932,Consumer,Portfolio_B,Usd,Sell,2802,429.73
Trd00458,WFC,10-04-2020,540.69,549.37,519.13,438.495,25562169,2937779436,50.81,4.777,1.101,Healthcare,Portfolio_A,Eur,Buy,3350,596.27
Trd00983,JPM,13-04-2020,795.24,812.1,703.13,735.37,16610563,4585613628,9.82,4.551,2.175,Healthcare,Portfolio_A,Usd,Sell,137,786.92
Trd01364,MSFT,13-04-2020,258.15,260.2,240.75,438.495,8084461,1253091128,39.56,2.929,2.191,Consumer,Portfolio_C,Usd,Sell,17,222.24
Trd01188,JPM,14-04-2020,137.51,142.3,130.8,131.49,26950778,578260805,73.36,2.831,2.326,Energy,Portfolio_C,Usd,Sell,3539,140.21
Trd01071,AMZN,15-04-2020,53.69,55.62,48.73,50.73,41528003,392342624,56.47,3.519,1.338,Energy,Portfolio_A,Gbp,Buy,81,46.4
Trd01071,AMZN,15-04-2020,53.69,55.62,48.73,50.73,41528003,392342624,56.47,3.519,1.338,Financial,Portfolio_A,Gbp,Buy,81,46.4
Trd00607,WFC,15-04-2020,369.31,376.37,359.96,362.81,5278253,2204104854,44.45,4.975,1.564,Energy,Portfolio_B,Eur,Buy,110,335.01
Trd01136,AMZN,16-04-2020,514.82,539.16,502.97,526.64,15084540,4893526767,43.31,2.383,1.692,Technology,Portfolio_B,Usd,Buy,306,563.19
Trd01255,META,16-04-2020,274.92,288.82,263.67,276.47,623878,2038367140,35.76,2.222,0.637,Technology,Portfolio_B,Eur,Sell,3312,222.3
Trd00309,BAC,20-04-2020,406.35,422.64,358.91,374.16,38928990,1949394570,79.93,1.761,2.379,Energy,Portfolio_A,Usd,Buy,540,436.1
Trd00567,NFLX,20-04-2020,437.53,455.27,431.29,453.15,42804949,1042351490,18.62,0.709,1.126,Energy,Portfolio_C,Gbp,Buy,730,432.38
Trd01019,AMD,21-04-2020,796.71,870.56,763.89,854.01,11382553,4870521511,22.49,3.321,1.816,Consumer,Portfolio_C,Gbp,Sell,3171,763.29
Trd00695,JPM,21-04-2020,637.01,643.37,603.42,621.27,46015332,2558923531,66.29,4.507,0.746,Energy,Portfolio_A,Gbp,Buy,240,608.52
Trd00914,NVDA,21-04-2020,161.57,168.79,156.41,167.39,1679285,511150640.9,73.3,0.571,0.613,Financial,Portfolio_B,Usd,Buy,1995,153.04
Trd00450,AMZN,22-04-2020,507.21,529.12,449.37,438.495,28743221,4658267580,11.13,0.973,0.872,Financial,Portfolio_C,Usd,Sell,1707,546.52
Trd00218,BAC,22-04-2020,419.44,445.22,405.93,436.05,26816645,2180832563,76.17,0.859,1.402,Financial,Portfolio_C,Usd,Sell,1302,522.01
Trd00325,JPM,22-04-2020,237.84,242.07,213.92,222.75,13070653,631434993.8,68.77,4.067,1.027,Healthcare,Portfolio_B,Usd,Buy,3357,230.74
Trd00391,META,22-04-2020,596.83,668.78,594.41,637.54,12678717,1949394570,58.4,1.1,1.351,Technology,Portfolio_A,Gbp,Buy,1955,638.91
Trd00850,NFLX,23-04-2020,631.04,635.87,614.03,627.3,36964559,2872098696,35.1,1.644,1.695,Financial,Portfolio_C,Usd,Sell,1426,750.38
Trd01044,NFLX,23-04-2020,103.39,109.83,101.17,105.84,21840188,1949394570,13.6,2.667,1.932,Energy,Portfolio_A,Usd,Sell,971,117.68
Trd01815,AAPL,24-04-2020,252.42,260.64,234.44,237.86,19483659,1174533889,39.82,1.467,0.481,Consumer,Portfolio_A,Eur,Sell,2939,254.32
Trd01606,MSFT,27-04-2020,161.81,166.02,158.79,162.89,47372219,774771299.1,12.24,3.024,0.416,Technology,Portfolio_A,Usd,Sell,4911,165.22
  Trd00968  ,TSLA,27-04-2020,225.88,247.86,222.7,237.19,18753916,1113310563,41.29,1.603,1.402,Technology,Portfolio_B,Usd,Sell,3458,270.07
Trd00320,BAC,28-04-2020,540.1,557.93,534.73,541.33,40286249,2132875928,45.75,4.947,1.643,Technology,Portfolio_B,Usd,Sell,2796,524.83
Trd00230,GS,28-04-2020,181.75,185.59,169.94,177.54,29658092,1748342194,74.11,2.108,0.93,Energy,Portfolio_B,Usd,Buy,1795,187.45
Trd01677,GOOGL,01-05-2020,487.74,505.88,486.35,500.08,10613180,4596486320,46.45,3.772,0.493,Healthcare,Portfolio_B,Usd,Buy,4309,411.61
Trd00560,JPM,01-05-2020,688.98,755.38,684.47,438.495,43564952,2009552304,73.85,3.838,1.617,Technology,Portfolio_A,Eur,Buy,2647,661.05
Trd01750,BAC,04-05-2020,567.59,609.23,558.16,598.15,0,4381671262,57.67,0.96,1.119,Healthcare,Portfolio_C,Usd,Buy,2262,661.11
Trd01278,BRK,04-05-2020,626.43,642.95,619.78,620.76,26964261,1944937919,38.72,3.332,0.901,Technology,Portfolio_C,Usd,Sell,4749,591.98
Trd01740,GS,04-05-2020,241.44,248.66,213.28,224.49,13824592,1627058622,29.25,1.83,1.402,Healthcare,Portfolio_C,Usd,Buy,1937,228.23
Trd01214,AAPL,05-05-2020,733.48,769.36,721.86,746.97,24853549,5919489256,62.39,0.534,1.412,Technology,Portfolio_C,Gbp,Buy,4974,835.63
Trd00178,INTC,05-05-2020,539.5,589.19,521.05,565.49,41386837,5593266114,49.06,1.439,0.372,Energy,Portfolio_B,Eur,Sell,4047,605.57
Trd01621,MSFT,05-05-2020,483.26,504.64,465.89,467.41,25562169,3671647643,79.56,3.155,0.733,Technology,Portfolio_B,Usd,Buy,1733,437.76
