trade_id,ticker,company_name,exchange,sector,trade_date,open_price_inr,high_price_inr,low_price_inr,close_price_inr,prev_close_inr,volume,market_cap_cr,pe_ratio,pb_ratio,dividend_yield,beta,52w_high_inr,52w_low_inr,nifty50_weight,portfolio,analyst_rating,shares_held,purchase_price_inr,currency
IN003630,INFY,Infosys,NSE,TECHNOLOGY,04-01-2020,1483.54,1588.43,1442.15,1560.54,1597.3,2980099,742908.46,61.05,10.18,2.601,1.008,1846.36,1001.33,2.3,MIDCAP_PORTFOLIO,BUY,1750,1464.56,INR
IN003632,INFY,Infosys,NSE,TECHNOLOGY,04-01-2020,1525.57,1608.67,1503.97,1598.97,1658.18,2033366,684714.67,70.88,6.96,1.53,0.898,1627.16,1154.73,5.1,NIFTY50_PORTFOLIO,SELL,1168,1305.62,INR
IN001282,SBIN,State Bank of India,NSE,FINANCE,04-01-2020,598.38,600.27,577.35,592.73,592.83,3892252,328026.01,19.07,5.16,1.499,1.877,684.9,484.65,1.2,SECTORAL_PORTFOLIO,HOLD,1798,479.63,INR
IN001292,SBIN,State Bank of India,NSE,FINANCE,04-01-2020,589.04,600.32,539.88,589.04,547.42,693238,409258.29,50.32,10.07,1.842,0.701,676.71,545.72,0.5,SECTORAL_PORTFOLIO,BUY,1854,573.04,INR
IN001320,SBIN,State Bank of India,NSE,FINANCE,04-01-2020,606.7,616.07,596.77,603.69,593.71,821883,570365.37,44,6.7,0.233,1.513,704.8,479.84,0.5,SECTORAL_PORTFOLIO,BUY,1625,664.59,INR
IN001331,SBIN,State Bank of India,NSE,FINANCE,04-01-2020,574.04,591.81,558.02,587.76,590.75,3769671,140090.8,22.52,10.3,2.59,1.004,819.03,412.09,0,SECTORAL_PORTFOLIO,HOLD,1422,559.3,INR
IN001366,SBIN,State Bank of India,NSE,FINANCE,04-01-2020,591.39,607.07,558.17,562.9,546.51,2657287,206334.21,42.57,6.44,1.221,1.484,804.37,360.25,2.3,NIFTY50_PORTFOLIO,SELL,1851,717.92,INR
IN001368,SBIN,State Bank of India,NSE,FINANCE,04-01-2020,572.42,593.46,566.98,587.44,601.17,3791247,261832.92,34.52,11.1,0.16,0.456,697.32,491.39,5.1,NIFTY50_PORTFOLIO,SELL,310,696.01,INR
IN004304,ICICIBANK,ICICI Bank,NSE,FINANCE,05-01-2020,920.16,922.98,891.15,907.69,903.84,4234863,47910.88,24.4,11.33,2.301,1.397,1038.88,845.5,5.1,MIDCAP_PORTFOLIO,BUY,835,759.5,INR
IN000269,ONGC,Oil & Natural Gas Corp,NSE,ENERGY,05-01-2020,278.74,291.71,271.66,287.37,296.5,2745672,164971.97,54.68,6.22,3.685,1.103,302.71,193.15,2.3,MIDCAP_PORTFOLIO,BUY,108,262.83,INR
IN001816,POWERGRID,Power Grid Corporation,BSE,UTILITIES,05-01-2020,245.16,261.55,244.84,260.14,257.32,3813175,129879.84,42.41,3.26,2.344,1.584,263.32,196.41,1.2,NIFTY50_PORTFOLIO,BUY,1812,194.62,INR
IN001836,POWERGRID,Power Grid Corporation,BSE,UTILITIES,05-01-2020,242.09,247.13,225.54,242.09,228.83,2244456,177895.23,65.54,2.99,1.9755,1.623,290.06,156.14,2.3,NIFTY50_PORTFOLIO,BUY,435,215.95,INR
IN001859,POWERGRID,Power Grid Corporation,BSE,UTILITIES,05-01-2020,258.41,264.63,256.31,256.7,266.94,1679102,79887.53,37.16,14.83,2.576,1.617,337.25,152.7,1.2,NIFTY50_PORTFOLIO,BUY,100,213.07,INR
IN001863,POWERGRID,Power Grid Corporation,BSE,UTILITIES,05-01-2020,238.52,254.63,232.13,251.87,243.13,3661076,120024.76,40.4,1,3.952,1.328,294.81,196.51,2.3,NIFTY50_PORTFOLIO,BUY,40,275.82,INR
IN003233,RELIANCE,Reliance Industries,NSE,ENERGY,05-01-2020,2282.32,2426.27,2276.44,2410.36,2356.11,1196052,332407.64,24.43,12.94,3.315,1.142,2512.51,1622.58,2.3,MIDCAP_PORTFOLIO,HOLD,867,2725.59,INR
IN000783,SUNPHARMA,Sun Pharmaceutical,BSE,PHARMACEUTICALS,05-01-2020,1215.17,1241.4,1183.26,1217.31,1256.16,2616174,1172726.22,35.88,10.73,2.302,0.815,1260.11,1046.61,1.2,NIFTY50_PORTFOLIO,BUY,189,937.5,INR
IN000827,SUNPHARMA,Sun Pharmaceutical,BSE,PHARMACEUTICALS,05-01-2020,1143.6,1159.86,1135,1143.6,1176.08,3815402,437663.02,74.96,9.88,3.48,0.444,1324.21,789.78,1.2,SECTORAL_PORTFOLIO,HOLD,1000,988.97,INR
IN004082,ICICIBANK,ICICI Bank,NSE,FINANCE,06-01-2020,992.73,1007.5,963.19,970.35,991.56,4726885,845387.95,30.25,1.4,3.869,1.136,1143.41,582.89,2.3,SECTORAL_PORTFOLIO,BUY,1737,1146.32,INR
IN002433,ONGC,Oil & Natural Gas Corp,NSE,ENERGY,06-01-2020,280.71,294.65,279.67,291.11,291.41,4460069,103161,46.28,7.9,0.71,1.904,343.71,206.71,2.3,MIDCAP_PORTFOLIO,HOLD,1641,278.76,INR
IN002501,ONGC,Oil & Natural Gas Corp,NSE,ENERGY,06-01-2020,271.51,279.25,264.64,271.51,273.86,1989912,118142.53,35.98,1.18,2.771,1.05,305.68,169.17,0.5,SECTORAL_PORTFOLIO,BUY,1139,252.66,INR
IN002508,ONGC,Oil & Natural Gas Corp,NSE,ENERGY,06-01-2020,271.33,291.56,270.95,286.44,284.81,4536064,181351.19,25.59,14.9,3.679,0.552,339.44,205.23,2.3,SECTORAL_PORTFOLIO,HOLD,399,317.49,INR
IN002518,ONGC,Oil & Natural Gas Corp,NSE,ENERGY,06-01-2020,277.86,282.34,260.8,268.83,259.08,3024540,264560.03,65.02,7.9,3.893,1.658,378.89,209.05,0.5,NIFTY50_PORTFOLIO,BUY,1859,321.54,INR
IN002099,ICICIBANK,ICICI Bank,NSE,FINANCE,07-01-2020,977.74,1011.8,966.63,1006.96,986.47,551195,651235.04,56.3,5.96,3.931,1.638,1102.68,802.87,1.2,NIFTY50_PORTFOLIO,BUY,1685,1128.4,INR
IN002118,ICICIBANK,ICICI Bank,NSE,ENERGY,07-01-2020,958.32,1023.22,943,996.76,962.04,2096366,320843.92,42.28,13.31,0.62,1.646,1077.84,773.04,3.5,SECTORAL_PORTFOLIO,BUY,1973,927.18,INR
IN003880,NESTLEIND,Nestle India,BSE,FMCG,07-01-2020,22198.28,22642.97,20392.72,20811.79,20916.37,271554,20567779.19,27.53,6.92,1.569,1.994,23859.38,20370.67,2.3,SECTORAL_PORTFOLIO,BUY,1700,18596.9,INR
IN003884,NESTLEIND,Nestle India,BSE,FMCG,07-01-2020,23088.11,23913.39,23033.8,23881.49,24298.78,2585084,3807534.93,11.83,7.97,3.933,1.2725,23921.55,20802.33,5.1,NIFTY50_PORTFOLIO,BUY,367,17805.96,INR
IN003901,NESTLEIND,Nestle India,BSE,FMCG,07-01-2020,22361.02,23483,22292.3,23455.69,22725.82,3112627,16891255.61,71.28,2.63,2.18,1.418,23455.69,13285.82,1.2,MIDCAP_PORTFOLIO,BUY,1536,16913.98,INR
IN004018,POWERGRID,Power Grid Corporation,BSE,UTILITIES,07-01-2020,261.7,263.04,251.48,255.7,261.38,256182,62956.96,48,2.1,2.775,1.084,309.32,166.86,5.1,MIDCAP_PORTFOLIO,BUY,555,306.13,INR
IN004019,POWERGRID,Power Grid Corporation,BSE,UTILITIES,07-01-2020,243.88,247.99,238.45,243.88,246.53,1611461,203198.04,78.2,9.56,1.648,1.363,337.07,179.7,0,SECTORAL_PORTFOLIO,BUY,286,282.38,INR
IN003280,RELIANCE,Reliance Industries,NSE,ENERGY,07-01-2020,2149.07,2250.63,2139.22,2149.07,2197.74,1614214,598088.58,16.04,3.66,2.652,1.047,2527.49,1652.55,0.5,NIFTY50_PORTFOLIO,HOLD,1115,2516.12,INR
IN003716,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,07-01-2020,3385.26,3475.6,3293.44,3299.06,3410.02,4315753,1196714.51,43.14,4.56,3.928,1.161,4548.09,2858.07,1.2,SECTORAL_PORTFOLIO,SELL,1096,4044.48,INR
IN003739,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,07-01-2020,3426.63,3505.5,3300.69,3364.29,3455.79,552969,2924894.18,75.04,4.34,1.778,0.751,3801.31,2121.31,2.3,SECTORAL_PORTFOLIO,BUY,1947,3402.73,INR
IN003791,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,07-01-2020,3484.47,3828.65,3443.24,3721.72,3750.62,3802959,1065657.23,54.73,7.44,3.275,1.432,4290.39,2624.82,5.1,SECTORAL_PORTFOLIO,HOLD,97,2775.3,INR
IN003799,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,07-01-2020,3460.51,3464.15,3264.28,3269.88,3227.66,373087,1542558.34,43.14,7.07,1.696,1.192,4707.53,3036.55,2.3,SECTORAL_PORTFOLIO,HOLD,1707,2863.85,INR
IN003817,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,07-01-2020,3625.56,3802.73,3579.31,3781.16,3904.03,1498943,2581478.29,71.39,14.61,1.898,1.758,4051.58,2887.21,0,NIFTY50_PORTFOLIO,BUY,522,3259,INR
IN003840,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,07-01-2020,3565.88,3701.05,3544.79,3681.04,3667.37,1180124,2326714.91,43.14,1.42,3.912,1.578,3724.48,2892.41,1.2,SECTORAL_PORTFOLIO,BUY,829,3906.64,INR
IN003921,TCS,Tata Consultancy Services,NSE,PHARMACEUTICALS,07-01-2020,3349.43,3419.33,3267.75,3386.6,3445.17,2373145,2374616.28,46.18,2.96,3.605,1.477,4486.04,2864.4,2.3,NIFTY50_PORTFOLIO,BUY,806,3898.66,INR
IN003952,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,07-01-2020,3580.82,3803.92,3504.13,3580.82,3776.96,3255181,1932396.03,52.14,7.44,3.184,1.096,4852.34,3113.12,5.1,SECTORAL_PORTFOLIO,BUY,991,3377.27,INR
IN003956,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,07-01-2020,3627.59,3858.93,3537.61,3854.35,3814.44,3966465,636558.9,76.19,5.77,2.138,1.423,4845.77,2283.66,1.2,NIFTY50_PORTFOLIO,BUY,73,2984.17,INR
IN003968,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,07-01-2020,3449.74,3656.17,3397.6,3612.75,3507.14,84421,926937.98,28.22,12.43,1.561,1.119,4886.13,2748.93,0.5,SECTORAL_PORTFOLIO,BUY,797,3157.84,INR
IN003973,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,07-01-2020,3464.22,3654.81,3394.45,3614.37,3682.6,942966,1989868.4,54.36,9.18,3.273,0.664,4253.87,2824.98,3.5,NIFTY50_PORTFOLIO,BUY,1635,3761.76,INR
IN000874,SUNPHARMA,Sun Pharmaceutical,BSE,PHARMACEUTICALS,09-01-2020,1195.69,1246.4,1183.32,1230.09,1187.36,1346592,592734.52,56.71,5.21,2.376,1.409,1429.69,775.49,2.3,NIFTY50_PORTFOLIO,BUY,335,1267.81,INR
IN000881,SUNPHARMA,Sun Pharmaceutical,BSE,PHARMACEUTICALS,09-01-2020,1165.48,1244.34,1155.17,1223.24,1218.81,2043783,917058.41,56.8,11.9,1.327,1.588,1274.71,991.11,0.5,SECTORAL_PORTFOLIO,BUY,996,1027.22,INR
IN001178,AXISBANK,Axis Bank,BSE,FINANCE,10-01-2020,1154.4,1184.91,1145.71,1172.93,1150.6,2394048,243613.77,28.1,2.92,1.933,1.298,1344.28,899.89,5.1,MIDCAP_PORTFOLIO,SELL,857,1015.04,INR
IN001197,AXISBANK,Axis Bank,BSE,FINANCE,10-01-2020,1063.27,1082.2,967.98,990.48,979.23,2069590,144527.2,14.14,1.16,2.743,0.606,1303.61,948.03,2.3,NIFTY50_PORTFOLIO,BUY,1632,1220.17,INR
IN001206,AXISBANK,Axis Bank,BSE,FINANCE,10-01-2020,1063.69,1067.2,967.7,997.07,1014.31,721118,124799.61,39.77,2.94,2.895,0.913,1362.38,824.28,0.5,NIFTY50_PORTFOLIO,BUY,1851,1036.46,INR
IN003892,BHARTIARTL,Bharti Airtel,NSE,TELECOMMUNICATION,10-01-2020,913.88,979.52,909.97,965.05,995.86,1943589,791627.22,12.46,6.05,3.986,1.472,965.05,758.86,3.5,MIDCAP_PORTFOLIO,HOLD,154,706.81,INR
IN003922,BHARTIARTL,Bharti Airtel,NSE,TELECOMMUNICATION,10-01-2020,898.08,916.98,882.89,907.97,892.26,2247337,701596.04,30.79,9.92,2.509,1.531,1199.16,608.7,0,NIFTY50_PORTFOLIO,SELL,1766,715.79,INR
IN000884,SUNPHARMA,Sun Pharmaceutical,BSE,PHARMACEUTICALS,10-01-2020,1153.61,1155.04,1105.79,1134.05,1088.71,4406475,664510.11,72.58,6.52,3.944,1.019,1454.67,850.58,1.2,MIDCAP_PORTFOLIO,SELL,1344,937.75,INR
IN000920,SUNPHARMA,Sun Pharmaceutical,BSE,PHARMACEUTICALS,10-01-2020,1240.5,1288.45,1236.66,1240.5,1234.81,3509958,1130571.07,76.48,6.82,2.586,0.601,1600.41,906.66,1.2,SECTORAL_PORTFOLIO,BUY,1357,1448.38,INR
IN001394,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,10-01-2020,3508.19,3720.7,3452.23,3709.3,3580.41,4438286,2277422.94,62.13,1.87,2.735,0.468,3944.54,2239.98,0.5,MIDCAP_PORTFOLIO,BUY,964,3538.27,INR
IN001414,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,10-01-2020,3629.96,3664.04,3500.72,3590.87,3520.41,4892550,1183641.95,34.92,11.18,1.964,1.705,4769.35,3159.74,5.1,MIDCAP_PORTFOLIO,BUY,200,3791.77,INR
IN001425,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,10-01-2020,3432.12,3617.89,3394.65,3597.16,3543.78,1441814,2125472.33,60.74,6.82,0.676,1.035,4197.11,2503.99,2.3,SECTORAL_PORTFOLIO,BUY,473,4202.28,INR
IN001436,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,10-01-2020,3599.13,3713.36,3502.34,3599.13,3579.24,4571254,2982527.18,10.55,4.71,2.299,1.036,4056.06,2259.74,0,SECTORAL_PORTFOLIO,BUY,1506,4269.06,INR
IN001450,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,10-01-2020,3612.19,3615.34,3469.16,3548.16,3613.79,4949789,2088562.08,70.58,4.32,2.504,1.859,4374.31,2434.77,3.5,SECTORAL_PORTFOLIO,BUY,182,4315.92,INR
IN001461,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,10-01-2020,3465.78,3486.85,3345.1,3423.08,3491.72,3964080,2019157.84,37.57,8.26,2.342,1.523,4687.03,2556.33,3.5,MIDCAP_PORTFOLIO,BUY,1091,3258.94,INR
IN001479,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,10-01-2020,3667.16,4013.79,3657.13,3667.16,4047.28,3195418,1932396.03,76.93,1.44,0.954,1.081,3894.29,2886.25,5.1,MIDCAP_PORTFOLIO,BUY,1932,3433.19,INR
IN001498,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,10-01-2020,3510.52,3752.09,3462.07,3712.82,3792.32,2373145,1351573.61,47.3,13.7,0.92,1.98,3804.43,2213.61,0.5,SECTORAL_PORTFOLIO,BUY,1397,3269.32,INR
IN000041,HDFCBANK,HDFC Bank,NSE,FINANCE,12-01-2020,1572.41,1639.9,1541.03,1609.35,1570.28,1284002,168616.89,18.74,7.08,1.972,0.622,2218.93,1032,5.1,NIFTY50_PORTFOLIO,HOLD,168,1677.76,INR
IN001272,HINDUNILVR,Hindustan Unilever,NSE,FMCG,12-01-2020,2609.67,2620.58,2452.83,2455.43,2484.26,1925728,554995.72,70.04,3.02,2.931,1.153,2917.41,2052.33,2.3,MIDCAP_PORTFOLIO,BUY,463,2201.06,INR
IN001314,HINDUNILVR,Hindustan Unilever,NSE,FMCG,12-01-2020,2498.63,2499.57,2369.91,2498.63,2437.7,4440622,1169004.22,22.09,10.23,3.798,0.424,3287.9,2335.07,3.5,NIFTY50_PORTFOLIO,SELL,415,2774.46,INR
IN001392,HINDUNILVR,Hindustan Unilever,NSE,FMCG,12-01-2020,2474.57,2505.41,2261.63,2320.42,2249.49,1895869,479399.01,37.89,1.87,3.44,1.398,3070.76,1561.32,5.1,NIFTY50_PORTFOLIO,BUY,298,2162.18,INR
IN001429,HINDUNILVR,Hindustan Unilever,NSE,FMCG,12-01-2020,2486.35,2524.61,2361.99,2408.22,2322.22,2201200.5,2491175.35,31.82,9.32,0.733,1.7,3112.61,2369.42,3.5,NIFTY50_PORTFOLIO,BUY,973,2504.89,INR
IN000441,ICICIBANK,ICICI Bank,NSE,FINANCE,12-01-2020,974.74,1043.5,956.26,1033.04,1070.51,487919,75935.55,78.22,10.03,2.985,0.539,1173.91,730.9,1.2,SECTORAL_PORTFOLIO,HOLD,669,1008.94,INR
IN000461,ICICIBANK,ICICI Bank,NSE,FINANCE,12-01-2020,997.16,1004.77,939.13,951.33,982.53,3254112,778403.87,44.73,4.68,3.658,1.04,1095.31,806.04,0.5,SECTORAL_PORTFOLIO,BUY,934,863.43,INR
IN000480,ICICIBANK,ICICI Bank,NSE,FINANCE,12-01-2020,981.83,993.31,970.1,970.37,987.65,1668850,877545.36,47.71,7.2,1.69,1.189,1319.34,611.4,0.5,MIDCAP_PORTFOLIO,HOLD,139,859.61,INR
IN000487,ICICIBANK,ICICI Bank,NSE,FINANCE,12-01-2020,929.37,929.37,846.54,865.86,874.55,1343893,212973.59,51.84,2.45,2.922,1.903,1301.06,703.75,5.1,SECTORAL_PORTFOLIO,BUY,1398,910.4,INR
IN000491,ICICIBANK,ICICI Bank,NSE,FINANCE,12-01-2020,930.41,953,847.36,873.51,845.32,1995867,497021.16,17.34,11.44,3.818,1.4,1022.23,638.85,3.5,NIFTY50_PORTFOLIO,BUY,1591,901.73,INR
IN000496,ICICIBANK,ICICI Bank,NSE,FINANCE,12-01-2020,920.77,961.54,911.89,920.77,935.07,4944350,374763.66,37.76,2.71,0.849,0.602,1316,643.92,5.1,NIFTY50_PORTFOLIO,HOLD,1936,1180.1,INR
IN002180,NESTLEIND,Nestle India,BSE,FMCG,12-01-2020,22028.3,23604.13,21485.66,23031.25,22856.67,850630,3772223.16,44.3,14.1,0.255,1.722,24025.66,18968.3,2.3,NIFTY50_PORTFOLIO,SELL,759,18398.13,INR
IN003131,NTPC,NTPC Limited,NSE,UTILITIES,12-01-2020,347.01,356.27,322.04,330.38,321.51,1738917,179918,19.75,14.93,1.254,1.872,384.18,279.31,5.1,MIDCAP_PORTFOLIO,BUY,1276,418.56,INR
IN003131,NTPC,NTPC Limited,NSE,TECHNOLOGY,12-01-2020,347.01,356.27,322.04,330.38,321.51,1738917,179918,19.75,14.93,1.254,1.872,384.18,279.31,5.1,MIDCAP_PORTFOLIO,BUY,1276,418.56,INR
IN003134,NTPC,NTPC Limited,NSE,UTILITIES,12-01-2020,355.77,378.42,347.44,376.53,385.38,321846,179918,36.8,13.3,2.524,0.605,422.65,332.33,1.2,NIFTY50_PORTFOLIO,SELL,1642,421.88,INR
IN003141,NTPC,NTPC Limited,NSE,UTILITIES,12-01-2020,346.99,354.8,334.29,343.97,347.18,1111143,74813.86,42.27,5.21,2.128,0.662,384.54,298.76,5.1,MIDCAP_PORTFOLIO,HOLD,869,289.39,INR
IN003151,NTPC,NTPC Limited,NSE,UTILITIES,12-01-2020,365.93,385.02,356.88,380.38,387.34,496278,179918,40.435,4.47,1.025,1.153,464.73,228.64,2.3,SECTORAL_PORTFOLIO,BUY,157,366.11,INR
IN003171,NTPC,NTPC Limited,NSE,UTILITIES,12-01-2020,352.85,380.29,349.11,371.77,375.36,3565039,39175.54,40.435,1.89,0.446,0.901,385.34,275.52,0.5,NIFTY50_PORTFOLIO,SELL,628,345.01,INR
IN004218,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,12-01-2020,3376.97,3451,3224.18,3265.91,3217.01,385258,1336557.36,13.91,7.76,1.822,1.201,3732.06,3219.59,0,MIDCAP_PORTFOLIO,BUY,296,4037.79,INR
IN004318,ICICIBANK,ICICI Bank,NSE,FINANCE,01-02-2020,990.95,1011.61,932.59,959.4,979.99,3705384,240198.38,68.22,6.99,0.638,0.981,1324.45,638.28,0.5,MIDCAP_PORTFOLIO,BUY,1914,955.65,INR
IN004352,ICICIBANK,ICICI Bank,NSE,FINANCE,01-02-2020,924.64,985.47,912.04,961.55,961.84,1663729,670010.24,15.97,9.13,2.779,1.088,1094.69,602.76,3.5,SECTORAL_PORTFOLIO,SELL,1531,1017.21,INR
IN004391,ICICIBANK,ICICI Bank,NSE,FINANCE,01-02-2020,938.06,948.27,909.64,934.6,909.91,4254772,556864.64,9.23,10.8,1.382,1.369,1030.56,826.47,3.5,NIFTY50_PORTFOLIO,HOLD,1096,1171.78,INR
IN004921,TCS,Tata Consultancy Services,NSE,TECHNOLOGY,01-02-2020,3416.81,3613.25,3321.14,3592.26,3644.61,2981173,2721765.23,8.96,14.61,3.788,0.985,4697.76,2771.45,2.3,SECTORAL_PORTFOLIO,SELL,1212,2870.13,INR
IN004187,TITAN,Titan Company,BSE,CONSUMER GOODS,01-02-2020,3430.36,3597.28,3378.05,3544.62,3455.53,2142041,384884.72,36.55,13.49,2.126,0.475,4150.27,2354.32,3.5,SECTORAL_PORTFOLIO,BUY,1116,3736.04,INR
IN004157,HINDUNILVR,Hindustan Unilever,NSE,FMCG,03-02-2020,2472.52,2496.09,2353.47,2412.45,2374.38,2076974,2107806.47,74.58,13.38,2.462,1.28,2934.33,2010.22,3.5,SECTORAL_PORTFOLIO,BUY,1696,2236.85,INR
IN004183,HINDUNILVR,Hindustan Unilever,NSE,FMCG,03-02-2020,2462.15,2579.48,2443.04,2524.84,2438.17,582012,1151295.28,32.66,9.09,1.653,1.472,2711.64,2210.72,0.5,NIFTY50_PORTFOLIO,BUY,1872,2560.97,INR
