trade_id,ticker,company_name,exchange,sector,trade_date,open_price_inr,high_price_inr,low_price_inr,close_price_inr,prev_close_inr,volume,market_cap_cr,pe_ratio,pb_ratio,dividend_yield,beta,52w_high_inr,52w_low_inr,nifty50_weight,portfolio,analyst_rating,shares_held,purchase_price_inr,currency,broker_notes,data_feed
IN004293,POWERGRID,Power Grid Corporation,BSE,Utilities,2021-12-09,261.32,265.83,283.21522070425976,261.75,255.12,498376.0,217695.04,,1.01,0.998,0.938,307.07,222.19,2.3,Sectoral_Portfolio,Hold,751.0,260.84,INR,,
IN003979,SUNPHARMA,Sun Pharmaceutical,BSE,Pharma,2022-03-03,1197.36,1286.58,1193.92,1251.52,1279.38,1025098.0,983830.46,53.86,5.0,0.051,1.544,1269.54,980.74,1.2,Sectoral_Portfolio,Strong Buy,810.0,1115.3,INR,,
IN000498,sunpharma,Sun Pharmaceutical,BSE,,2024-12-12,1214.35,1261.16,1197.44,1239.54,1260.52,493090.0,612260.84,58.77,7.85,0.318,1.601,1364.71,832.29,5.1,Nifty50_Portfolio,Strong Buy,425.0,1265.23,INR,,
IN002700,HCLTECH,HCL Technologies,NSE,Technology,2022-09-01,1493.81,1496.3,1417.89,1422.78,1461.71,3311351.0,340590.12,73.87,5.14,3.737,1.24,1825.3,1229.62,0.5,Midcap_Portfolio,Strong Buy,484.0,1816.7,INR,,
IN004990,HDFCBANK,HDFC Bank,NSE,Banking,2021-05-04,1641.24,1672.38,1562.25,1599.08,1558.72,2613429.0,1210671.27,8.85,1.19,2.468,0.806,2035.3,1387.08,0.5,Nifty50_Portfolio,Buy,1193.0,1405.9,INR,,
IN004518,POWERGRID,Power Grid Corporation,BSE,Utilities,2024-08-16,251.68,252.68,230.21,235.18,240.05,3680637.0,246382.83,50.43,10.85,1.825,0.813,304.76,224.39,1.2,Sectoral_Portfolio,Hold,931.0,198.5,INR,,
IN001452,MARUTI,Maruti Suzuki,BSE,Automobile,2023-06-02,10136.05,10894.68,10046.82,10728.44,10990.57,1289402.0,,38.0,5.03,2.294,1.081,11618.98,7638.62,0.5,Sectoral_Portfolio,Strong Buy,1188.0,8234.87,INR,,
IN002991,WIPRO,Wipro,BSE,Technology,2023-11-28,521.03,547.22,507.57,538.5,536.71,3430267.0,326423.06,,1.88,0.633,0.406,527.05,424.22,,Sectoral_Portfolio,Hold,413.0,497.32,INR,,
IN002944,INFY,Infosys,NSE,Technology,2020-09-14,1451.23,1558.59,1422.17,1514.68,1501.98,4041082.0,475931.23,14.45,12.79,3.12,0.516,1655.67,1008.99,0.5,Nifty50_Portfolio,Hold,1778.0,1323.24,INR,,
IN000928,AXISBANK,Axis Bank,BSE,Banking,2024-09-24,1059.06,1083.17,1020.54,1022.33,1016.2,2108442.0,1094209.54,64.58,1.32,2.497,1.856,1401.34,940.14,0.5,Midcap_Portfolio,Buy,227.0,1127.22,INR,,
IN001324,NESTLEIND,Nestle India,BSE,FMCG,2021-04-26,21262.17,22418.19,21236.61,21945.1,22115.62,4895743.0,20808680.65,30.86,6.46,3.291,0.435,24542.12,19808.84,3.5,Midcap_Portfolio,Hold,584.0,21552.81,INR,,
IN004895,WIPRO,Wipro,BSE,Technology,2020-02-26,515.37,518.47,507.74,,530.32,1794042.0,62337.41,8.46,11.42,3.816,0.669,557.35,357.04,1.2,Sectoral_Portfolio,Underperform,19.0,385.75,INR,,
IN002100,HINDUNILVR,Hindustan Unilever,NSE,FMCG,2022-06-02,2621.67,2664.73,2401.52,2439.47,2399.41,2633250.0,867441.88,78.57,13.41,,1.255,3331.02,1699.87,0.5,Midcap_Portfolio,Hold,719.0,2566.2,INR,,
IN000732,TECHM,Tech Mahindra,NSE,Technology,2023-06-05,1251.97,1295.69,1246.21,1284.67,1259.51,263268.0,817314.5,64.61,10.87,3.567,1.885,1511.46,936.13,2.3,Sectoral_Portfolio,Buy,632.0,1381.17,INR,,
IN000839,TCS,Tata Consultancy Services,NSE,Technology,2020-06-30,3481.25,3571.77,3440.28,,3442.66,3502209.0,391537.62,8.34,4.12,0.346,1.999,4664.87,3282.26,2.3,Nifty50_Portfolio,Underperform,1290.0,3356.92,INR,,
IN002847,BAJFINANCE,Bajaj Finance,NSE,NBFC,2020-07-06,7020.49,7579.45,6940.65,,7279.39,3944898.0,3783231.12,43.49,1.67,1.819,1.982,9578.5,5695.5,5.1,Sectoral_Portfolio,Buy,122.0,7540.03,INR,,
IN001993,BHARTIARTL,Bharti Airtel,NSE,Telecom,2024-04-01,876.8,892.74,845.1,845.48,848.51,2777118.0,823932.06,16.34,11.38,3.181,,1180.4,714.98,5.1,Nifty50_Portfolio,Hold,1201.0,1082.84,INR,,
IN002901,ASIANPAINT,Asian Paints,BSE,Consumer Goods,2023-01-05,2920.31,3050.89,2881.83,2975.13,3020.47,2833279.0,2136144.24,48.63,14.1,2.712,1.546,3655.01,2524.08,0.0,Midcap_Portfolio,Buy,910.0,3562.79,INR,,
IN000627,TECHM,Tech Mahindra,NSE,Technology,2020-03-09,1334.04,1356.42,1231.9,1242.2,1250.29,2111854.0,908694.79,12.82,14.49,1.307,0.755,1767.2,1042.49,3.5,Midcap_Portfolio,Underperform,299.0,1286.14,INR,,
IN001542,HCLTECH,HCL Technologies,NSE,Technology,2024-10-31,1518.7,1593.22,1511.77,1548.98,1524.23,2278872.0,238143.95,27.22,8.51,0.758,1.82,1911.52,1145.93,2.3,Nifty50_Portfolio,Sell,895.0,1855.61,INR,,
IN002510,BAJFINANCE,Bajaj Finance,NSE,NBFC,2022-09-28,6978.34,6985.53,6693.26,6834.86,7036.24,699611.0,2754797.35,38.25,,2.127,1.707,8687.48,5754.24,,Midcap_Portfolio,Buy,1529.0,6861.31,INR,,
IN000539,BAJFINANCE,Bajaj Finance,NSE,NBFC,2020-07-17,6973.67,7107.22,6429.92,6515.56,6450.18,4795225.0,6409645.2,25.12,13.58,2.032,0.946,8849.26,4836.01,5.1,Nifty50_Portfolio,Buy,1142.0,7877.03,INR,,
IN003691,ULTRACEMCO,UltraTech Cement,BSE,Infrastructure,2022-11-21,9134.63,9300.84,9076.56,9109.85,9377.19,4626489.0,5744664.27,19.89,10.98,0.584,1.17,10127.04,7333.68,0.5,Midcap_Portfolio,Buy,1565.0,9970.4,INR,,
IN002945,HCLTECH,HCL Technologies,NSE,Technology,2021-06-29,1525.9,1533.07,1437.59,1453.7,1453.26,4047896.0,271398.86,70.84,3.18,3.467,1.707,2057.85,1239.78,2.3,Nifty50_Portfolio,Sell,1895.0,1158.62,INR,,
IN003818,LT,Larsen & Toubro,NSE,Infrastructure,2021-06-22,3264.15,3296.72,3142.7,3171.16,3288.75,389340.0,,79.57,,0.864,1.01,3828.33,2216.15,2.3,Nifty50_Portfolio,Buy,1719.0,3605.01,INR,,
IN000045,TECHM,Tech Mahindra,NSE,Technology,2023-07-10,1357.86,1428.86,1356.08,,1374.94,4501570.0,799532.39,38.27,12.02,3.971,1.43,1392.9,1058.08,2.3,Sectoral_Portfolio,Buy,628.0,1558.26,INR,,
IN003400,AXISBANK,Axis Bank,BSE,Banking,2023-02-15,1073.42,1114.54,1070.99,1093.84,1109.06,3166322.0,306130.7,,4.05,1.934,,1272.93,803.0,5.1,Sectoral_Portfolio,,963.0,1166.15,INR,,
IN002881,SBIN,State Bank of India,NSE,Banking,2021-10-28,613.86,646.24,595.85,637.02,660.29,,357960.74,51.85,9.59,0.781,1.774,830.67,535.56,5.1,Nifty50_Portfolio,Strong Buy,1922.0,697.46,INR,,
IN002437,SUNPHARMA,Sun Pharmaceutical,BSE,Pharma,2021-07-16,1204.96,1212.35,1132.26,1163.85,1144.49,1285512.0,489089.61,,7.51,2.663,1.999,1531.72,769.02,0.5,Nifty50_Portfolio,Sell,50.0,1348.68,INR,,
IN001770,ADANIENT,Adani Enterprises,NSE,Conglomerate,2022-04-26,2846.68,2901.16,2828.66,2834.76,2826.45,4240776.0,378568.62,17.38,9.8,2.899,1.403,3580.62,1999.06,0.0,Midcap_Portfolio,Strong Buy,971.0,3033.45,INR,,
IN000024,TCS,Tata Consultancy Services,NSE,Technology,2021-10-04,3366.45,3452.3,3060.02,3132.92,3051.37,2734534.0,421790.16,11.92,14.24,0.369,0.692,4517.71,2862.65,2.3,Sectoral_Portfolio,Sell,304.0,4260.26,INR,,
IN002395,HCLTECH,HCL Technologies,NSE,Technology,2024-01-09,1433.56,1468.14,1340.88,1375.48,1333.44,3025776.0,263752.64,53.67,5.03,3.48,1.655,1610.08,1271.35,0.0,Sectoral_Portfolio,Buy,1320.0,1851.98,INR,,
IN001201,MARUTI,Maruti Suzuki,BSE,Automobile,2022-09-01,9546.97,9581.92,9241.32,9275.77,9005.49,2048235.0,5998423.77,55.25,9.41,2.361,1.229,12662.21,7344.45,0.5,Nifty50_Portfolio,Sell,89.0,11742.01,INR,,
IN000813,BAJFINANCE,Bajaj Finance,NSE,NBFC,2021-01-08,6735.48,6824.91,6391.82,6539.85,6397.78,3900209.0,,13.01,14.39,1.207,1.215,9727.05,4708.35,0.5,Nifty50_Portfolio,Buy,1988.0,6712.7,INR,,
IN001174,NTPC,NTPC Limited,NSE,,2024-12-23,332.76,334.62,308.96,310.84,301.02,3999967.0,107202.3,56.3,14.29,3.463,0.988,469.11,320.08,2.3,Nifty50_Portfolio,Buy,1451.0,401.53,INR,,
IN000502,INFY,Infosys,NSE,Technology,2023-10-03,1561.94,1647.0,1556.86,1600.0,1570.28,2693505.0,271899.37,31.21,5.74,3.82,0.871,1608.58,1053.16,1.2,Nifty50_Portfolio,Sell,74.0,1236.72,INR,,
IN002635,TECHM,Tech Mahindra,NSE,Technology,2021-10-22,1255.07,1263.25,1208.2,1237.8,1272.73,2646016.0,440261.55,44.36,5.05,0.989,1.488,1772.71,849.12,0.5,Nifty50_Portfolio,Buy,1300.0,1110.84,INR,,
IN004795,RELIANCE,Reliance Industries,NSE,Energy,2024-04-16,2156.77,2225.31,2132.27,2191.77,2267.98,936040.0,2157059.96,42.52,11.23,1.213,0.686,2964.32,1488.96,5.1,Sectoral_Portfolio,Buy,1528.0,1713.68,INR,,
IN003143,ADANIENT,Adani Enterprises,NSE,Conglomerate,2022-11-18,2735.11,2773.24,2699.53,2772.12,2800.17,1950611.0,2671453.08,72.59,4.83,,1.941,3814.85,2359.41,2.3,Nifty50_Portfolio,,1424.0,2972.0,INR,,
IN000466,TECHM,Tech Mahindra,NSE,Technology,2024-05-22,1295.54,1332.84,1268.49,1297.8,1284.83,3643630.0,297802.81,24.96,12.7,2.636,1.199,1618.97,1073.03,0.0,Midcap_Portfolio,Underperform,983.0,1440.32,INR,,
IN001841,HINDUNILVR,Hindustan Unilever,NSE,FMCG,2023-06-01,2476.97,2511.78,2377.2,2431.12,2440.79,4219539.0,315004.97,17.44,4.35,1.961,0.906,2821.27,2364.97,1.2,Midcap_Portfolio,Hold,1349.0,1899.29,INR,,
IN003296,WIPRO,Wipro,BSE,Technology,2024-04-15,524.17,536.76,508.77,,497.23,1995365.0,255030.25,40.85,11.5,0.584,1.721,579.69,391.67,3.5,Nifty50_Portfolio,Buy,808.0,408.1,INR,,
IN003932,TITAN,Titan Company,BSE,Consumer Goods,2020-12-23,3564.6,3749.25,3470.93,3716.58,3641.25,4956041.0,2264043.59,73.17,14.99,0.818,0.525,3717.65,2126.32,0.5,Sectoral_Portfolio,Sell,1744.0,3971.38,INR,,
IN003648,KOTAKBANK,Kotak Mahindra Bank,NSE,Banking,2023-04-11,1818.44,1968.81,1810.1,,1954.72,2574936.0,267383.56,64.27,1.94,3.389,0.904,1932.78,1254.35,0.0,Midcap_Portfolio,Buy,1095.0,1662.45,INR,,
IN003572,RELIANCE,Reliance Industries,NSE,Energy,2022-03-10,2158.8,2185.53,2044.23,2056.07,2081.42,2271051.0,696588.72,,10.81,1.372,1.734,2675.28,1948.7,0.0,Midcap_Portfolio,Strong Buy,611.0,2434.89,INR,,
IN000880,ONGC,Oil & Natural Gas Corp,NSE,Energy,2020-12-29,284.21,295.46,280.2,289.18,280.3,2252817.0,220323.48,28.64,12.76,,1.499,363.92,263.45,0.5,Sectoral_Portfolio,Buy,784.0,318.52,INR,,
IN001384,TCS,Tata Consultancy Services,NSE,Technology,20/10/2020,3474.86,3642.94,3447.65,,3613.05,537849.0,3094732.32,,,2.583,0.651,4101.21,3248.85,0.0,Midcap_Portfolio,Buy,1958.0,3381.98,INR,,
IN003665,TCS,Tata Consultancy Services,NSE,Technology,2022-12-07,3474.63,3502.63,3421.23,3452.45,3479.65,3856690.0,,65.2,5.03,2.711,1.907,4595.1,2939.25,0.0,Sectoral_Portfolio,Buy,1944.0,2820.82,INR,,
IN000107,BAJFINANCE,Bajaj Finance,NSE,NBFC,2020-07-14,7300.5,7695.23,7105.42,7668.7,7491.13,4759048.0,1677488.52,71.31,1.35,3.649,1.025,8292.37,4407.0,5.1,Midcap_Portfolio,Strong Buy,639.0,6218.77,INR,,
IN001398,POWERGRID,Power Grid Corporation,BSE,Utilities,2022-06-13,257.38,259.64,253.22,257.03,256.25,4263071.0,85155.35,21.53,5.95,0.05,0.927,325.1,187.43,5.1,Sectoral_Portfolio,Underperform,1222.0,195.05,INR,,
IN002747,TITAN,Titan Company,BSE,,2021-10-12,3482.29,3511.67,3238.57,3329.77,3349.69,,1685781.82,31.14,6.99,0.189,,4447.49,2935.92,3.5,Midcap_Portfolio,Buy,602.0,2839.2,INR,,
IN002146,HCLTECH,HCL Technologies,NSE,,2021-08-24,1555.08,1586.32,1466.46,1508.2,1456.96,164307.0,1435042.66,32.14,,3.129,,1772.52,1236.61,0.5,Sectoral_Portfolio,Hold,1241.0,1817.16,INR,,
IN001345,NESTLEIND,Nestle India,BSE,FMCG,2024-06-11,21485.19,22703.38,20926.16,22098.63,21687.75,3632248.0,21054001.61,,4.17,1.03,1.356,21978.127224284195,19875.45,0.5,Nifty50_Portfolio,Strong Buy,1174.0,19292.47,INR,,
IN002187,NTPC,NTPC Limited,NSE,Utilities,2021-11-04,348.25,349.76,337.1,346.81,349.15,2826081.0,286263.78,54.11,,2.265,0.884,456.08,273.98,1.2,Sectoral_Portfolio,Hold,173.0,431.67,INR,,
IN004329,bajfinance,Bajaj Finance,NSE,NBFC,2021-01-06,6994.65,7080.02,6796.21,6893.02,6652.46,4148104.0,3681378.1,,3.49,3.362,1.434,8497.42,6003.61,0.0,Sectoral_Portfolio,Buy,1916.0,7564.28,INR,,
IN003337,HDFCBANK,HDFC Bank,NSE,Banking,2024-08-02,1573.82,1589.27,1471.74,1479.75,1488.64,2887914.0,1303813.84,46.44,9.24,0.013,1.665,1864.37,1371.13,0.0,Midcap_Portfolio,Strong Buy,474.0,1426.54,INR,,
IN001653,ADANIENT,Adani Enterprises,NSE,Conglomerate,2023-09-29,2868.8,2943.02,2696.27,2730.03,2706.05,4578849.0,,57.56,9.47,3.214,1.685,3450.17,2233.48,0.5,Nifty50_Portfolio,Strong Buy,1590.0,2200.78,INR,,
IN001962,KOTAKBANK,Kotak Mahindra Bank,NSE,Banking,2024-08-22,1881.38,1930.44,1836.99,1867.02,1815.9,4468970.0,301569.14,55.27,12.61,0.271,0.461,2430.54,1625.34,0.0,Sectoral_Portfolio,Hold,1448.0,1791.97,INR,,
IN000734,INFY,Infosys,NSE,Technology,2021-01-28,1491.34,1580.94,1487.43,1544.75,1491.81,1469468.0,1050282.46,71.31,,2.269,1.818,1780.09,1076.61,1.2,Sectoral_Portfolio,Sell,1235.0,1541.04,INR,,
IN002139,ICICIBANK,ICICI Bank,bse,Banking,2023-11-06,992.03,1089.39,964.51,1058.01,1030.37,4357000.0,108949.97,77.32,3.61,0.057,,1218.62,881.89,0.5,Sectoral_Portfolio,Strong Buy,805.0,889.45,INR,,
IN001058,HINDUNILVR,Hindustan Unilever,NSE,FMCG,2020-11-30,2528.49,2583.02,2392.47,2414.74,2391.31,1186365.0,,45.69,14.16,1.875,0.562,3371.64,1523.28,2.3,Midcap_Portfolio,Hold,1971.0,2366.15,INR,,
IN004636,LT,Larsen & Toubro,NSE,Infrastructure,2022-12-16,3273.6,3512.55,3198.74,3453.19,3430.13,318496.0,,35.44,8.53,3.212,1.08,3503.02,2171.66,5.1,Midcap_Portfolio,Strong Buy,121.0,2885.7,INR,,
IN000712,BHARTIARTL,Bharti Airtel,NSE,,2024-08-02,932.15,956.47,916.38,945.71,909.71,,447557.3,59.47,6.58,0.326,0.596,1094.37,773.74,2.3,Midcap_Portfolio,Buy,1544.0,755.77,INR,,
IN003703,ASIANPAINT,Asian Paints,BSE,Consumer Goods,2021-04-26,2963.15,3036.1,2760.38,,2704.18,3973505.0,2361415.64,79.74,1.68,1.837,0.613,3323.52,2291.24,0.0,Sectoral_Portfolio,Strong Buy,630.0,2363.13,INR,,
IN000240,HINDUNILVR,Hindustan Unilever,NSE,FMCG,2021-07-15,2590.26,2638.9,2496.23,2503.71,2567.03,-100000.0,552555.78,,4.89,3.135,1.057,3063.02,2330.59,0.0,Sectoral_Portfolio,,1902.0,2582.39,INR,,
IN000066,ULTRACEMCO,UltraTech Cement,BSE,Infrastructure,2023-02-03,9719.75,10002.41,9570.55,9712.61,10024.86,4996261.0,,,11.92,3.992,1.008,11309.99,8420.18,2.3,Sectoral_Portfolio,Strong Buy,261.0,11482.45,INR,,
IN000777,RELIANCE,Reliance Industries,NSE,Energy,2023-11-13,2159.86,2214.1,2102.73,2146.44,2083.69,497974.0,177491.84,61.22,1.36,3.077,1.122,3071.14,1429.58,3.5,Nifty50_Portfolio,Strong Buy,1247.0,2201.97,INR,,
IN000411,RELIANCE,Reliance Industries,NSE,Energy,2023-04-17,2250.48,2401.37,2189.3,2332.09,2275.1,4438282.0,1644361.67,50.65,,3.015,1.722,2943.73,1382.72,3.5,Sectoral_Portfolio,Buy,1340.0,2596.76,INR,,
IN000531,RELIANCE,Reliance Industries,NSE,Energy,2020-07-28,2289.05,2298.36,2208.89,2272.38,2320.71,2634358.0,1046164.54,36.72,8.5,,0.788,2818.6,1841.84,0.5,Sectoral_Portfolio,Buy,259.0,2046.08,INR,,
IN002147,powergrid,Power Grid Corporation,BSE,Utilities,2020-05-26,261.4,272.22,258.26,271.1,271.46,4228761.0,155167.8,,14.82,2.322,1.122,340.87,178.28,1.2,Midcap_Portfolio,--,1786.0,217.03,INR,,
IN000590,HDFCBANK,HDFC Bank,NSE,Banking,2024-05-01,1658.15,1668.07,1506.91,1547.45,1604.28,1668120.0,319796.49,10.96,2.41,0.324,,2148.37,1469.58,2.3,Midcap_Portfolio,Hold,660.0,1793.64,INR,,
IN002693,POWERGRID,Power Grid Corporation,BSE,Utilities,2024-02-01,249.67,268.64,248.83,265.6,261.1,3891157.0,207818.53,74.7,,2.509,1.239,310.72,183.34,0.5,Sectoral_Portfolio,Buy,846.0,196.84,INR,,
IN003136,SUNPHARMA,Sun Pharmaceutical,BSE,Pharma,2024-08-01,1220.64,1245.13,1196.19,1222.35,1252.09,2583496.0,141008.94,28.11,7.6,3.283,0.805,1410.45,989.22,1.2,Sectoral_Portfolio,Buy,892.0,1271.27,INR,,
IN003639,TITAN,Titan Company,BSE,Consumer Goods,2020-01-23,3342.54,3350.67,3256.23,,3380.29,976185.0,2705892.0,72.8,4.43,3.198,1.126,4725.38,2334.86,3.5,Midcap_Portfolio,Strong Buy,1961.0,2896.9,INR,,
IN003906,AXISBANK,Axis Bank,BSE,Banking,2021-11-23,1056.56,1137.13,1056.04,1120.52,1077.26,666988.0,83812.41,18.92,2.97,2.932,1.277,1210.58,952.77,,Midcap_Portfolio,Strong Buy,919.0,1091.26,INR,,
IN002760,TECHM,Tech Mahindra,NSE,Technology,2022-12-09,1322.41,1352.89,1258.55,1261.97,1253.01,4174361.0,603703.8,43.51,4.47,3.332,1.234,1558.52,1085.83,0.5,Midcap_Portfolio,Strong Buy,1134.0,1074.73,INR,,
IN001616,HDFCBANK,HDFC Bank,NSE,Banking,2023-03-24,1660.55,1787.64,1634.28,1744.91,1790.3,3610179.0,899219.24,67.28,,1.734,0.477,2096.43,1117.33,3.5,Nifty50_Portfolio,,1697.0,1877.04,INR,,
IN002415,INFY,Infosys,NSE,Technology,2022-11-14,1463.14,1475.15,1325.01,1362.05,1332.7,2545469.0,420916.65,42.03,13.91,2.931,0.72,1623.34,1358.26,2.3,Nifty50_Portfolio,Buy,1707.0,1846.59,INR,,
IN004880,HINDUNILVR,Hindustan Unilever,NSE,FMCG,2021-04-26,2507.62,2576.2,2400.22,2457.85,2381.73,3035716.0,1276911.85,52.35,13.05,2.016,0.736,2724.8,1895.74,1.2,Sectoral_Portfolio,Buy,1067.0,2188.0,INR,,
IN004128,BHARTIARTL,Bharti Airtel,NSE,Telecom,2023-05-29,862.26,867.88,811.1,823.42,830.83,2018547.0,236876.27,25.97,8.39,0.558,1.203,999.1,661.55,,Sectoral_Portfolio,Hold,99.0,1098.11,INR,,
IN000562,LT,Larsen & Toubro,NSE,Infrastructure,2023-12-01,3242.32,3244.93,3043.84,3133.84,3030.94,3159308.0,2627410.66,60.76,11.25,3.654,0.95,4000.21,2142.97,3.5,Sectoral_Portfolio,Underperform,1830.0,2694.68,INR,,
IN000085,ONGC,Oil & Natural Gas Corp,NSE,Energy,2023-01-10,267.18,274.75,261.27,264.82,256.59,3594622.0,179361.91,9.53,12.88,3.226,,321.46,182.01,0.0,Sectoral_Portfolio,Hold,125.0,334.3,INR,,
IN004630,AXISBANK,Axis Bank,BSE,Banking,2022-09-12,1067.82,1074.34,997.4,1024.95,1026.87,4256471.0,762969.82,21.92,14.78,0.367,1.786,1475.95,845.87,0.5,Sectoral_Portfolio,Strong Buy,398.0,955.85,INR,,
IN003106,SUNPHARMA,Sun Pharmaceutical,BSE,Pharma,2024-02-08,1198.06,1228.47,1161.01,1164.06,1164.72,536633.0,1188344.69,45.23,1.49,2.861,0.442,1485.21,816.54,3.5,Nifty50_Portfolio,Sell,338.0,1436.84,INR,,
IN002535,BAJFINANCE,Bajaj Finance,NSE,NBFC,2021-05-07,7007.36,7154.95,6950.57,7116.57,7296.71,202779.0,,45.22,6.61,0.497,1.482,7501.95,6640.23,3.5,Sectoral_Portfolio,Buy,1670.0,8596.87,INR,,
IN002145,ADANIENT,Adani Enterprises,NSE,Conglomerate,2022-10-28,2719.68,2726.11,2592.58,2605.93,2697.17,627801.0,616591.68,79.05,1.93,2.741,1.749,2955.48,1970.64,3.5,Nifty50_Portfolio,Hold,1098.0,3007.06,INR,,
IN001527,TITAN,Titan Company,BSE,Consumer Goods,2022-08-11,3475.75,3535.53,3307.51,3385.03,3387.03,4021821.0,1097063.24,14.96,7.0,2.026,1.569,4174.44,2248.26,,Midcap_Portfolio,Buy,295.0,4052.64,INR,,
IN003248,NTPC,NTPC Limited,NSE,Utilities,2020-04-16,349.97,357.51,337.48,,339.65,605833.0,344432.44,61.83,6.43,1.248,0.463,389.46,297.41,2.3,Midcap_Portfolio,Strong Buy,653.0,386.88,INR,,
IN000735,BAJFINANCE,Bajaj Finance,NSE,NBFC,2021-06-08,7208.05,7732.7,7016.6,7676.67,7549.29,3805138.0,,50.94,10.39,1.393,0.511,7942.49,5122.99,0.5,Midcap_Portfolio,Strong Buy,237.0,7938.49,INR,,
IN001363,ONGC,Oil & Natural Gas Corp,NSE,Energy,2021-10-20,266.69,270.11,266.06,266.3,274.7,,130177.56,34.83,5.94,,1.413,379.19,239.23,0.0,Midcap_Portfolio,Buy,1235.0,328.41,INR,,
IN003535,ONGC,Oil & Natural Gas Corp,NSE,Energy,2024-04-04,287.4,307.11,279.0,298.21,309.44,3450297.0,75549.78,67.63,2.15,2.773,0.998,351.31,233.86,1.2,Nifty50_Portfolio,Buy,1413.0,300.62,INR,,
IN000487,ICICIBANK,ICICI Bank,NSE,Banking,2020-12-16,929.37,829.5918095924512,846.54,865.86,874.55,1343893.0,212973.59,51.84,2.45,2.922,1.903,1301.06,703.75,5.1,Sectoral_Portfolio,Strong Buy,1398.0,910.4,INR,,
IN001505,TITAN,Titan Company,BSE,Consumer Goods,2022-08-08,3276.7,3339.21,3101.2,3147.29,3150.59,3074919.0,3221903.58,43.7,2.98,3.933,1.412,4340.23,2994.35,0.0,Midcap_Portfolio,Strong Buy,357.0,2652.21,INR,,
IN003299,RELIANCE,Reliance Industries,NSE,Energy,2022-09-16,2234.85,2295.56,2156.36,2189.57,2160.14,1417091.0,,12.61,7.96,2.086,0.919,2739.59,1671.06,5.1,Midcap_Portfolio,BUY,54.0,2116.8,INR,,
IN003451,TITAN,Titan Company,BSE,Consumer Goods,2022-01-19,3280.92,3348.48,3054.08,3128.66,3107.04,1344695.0,440736.98,,7.56,0.674,1.95,4321.52,2493.94,3.5,Nifty50_Portfolio,Strong Buy,568.0,3312.94,INR,,
IN004452,ICICIBANK,ICICI Bank,NSE,Banking,2022-04-19,971.02,983.41,952.57,971.73,956.69,2356321.0,892736.75,67.64,13.41,2.509,1.752,1291.69,730.6,0.5,Midcap_Portfolio,Strong Buy,1892.0,754.28,INR,,
